Estado,Clave_Estado,Año,descargas_municipales_sin_tratamiento,descargas_sin_tratamiento_lago,descargas_sin_tratamiento_mar,descargas_sin_tratamiento_rio,tomas_abastecimiento_publico,tomas_macromedidor_descompuesto,tomas_macromedidor_funcionando,tomas_sin_macromedidor
Aguascalientes,1,2016,225,11,0,165,507,53,408,35
Aguascalientes,1,2018,132,0,0,83,502,43,421,38
Aguascalientes,1,2020,180,0,0,121,501,23,437,41
Baja California,2,2016,2,0,0,2,123,9,112,2
Baja California,2,2018,3,0,0,2,121,3,117,1
Baja California,2,2020,4,0,0,1,126,3,119,4
Baja California Sur,3,2016,3,0,1,0,161,41,92,28
Baja California Sur,3,2018,4,0,1,0,157,45,86,26
Baja California Sur,3,2020,2,0,0,0,166,44,94,28
Campeche,4,2016,1,0,1,0,556,243,116,197
Campeche,4,2018,0,0,0,0,520,317,50,153
Campeche,4,2020,1,0,1,0,529,318,60,151
Chiapas,7,2016,217,4,0,172,368,27,60,281
Chiapas,7,2018,245,7,0,197,374,49,56,269
Chiapas,7,2020,294,1,0,230,453,40,67,346
Chihuahua,8,2016,100,0,0,21,991,80,505,406
Chihuahua,8,2018,40,0,0,8,801,62,504,235
Chihuahua,8,2020,24,0,0,9,871,51,550,270
Ciudad de México,9,2016,62,0,0,14,998,67,153,705
Ciudad de México,9,2018,62,0,0,12,560,0,543,11
Ciudad de México,9,2020,65,0,0,24,514,36,432,46
Coahuila,5,2016,40,0,0,6,378,17,251,110
Coahuila,5,2018,37,4,0,5,383,53,215,115
Coahuila,5,2020,37,0,0,5,399,58,223,118
Colima,6,2016,9,6,0,0,331,66,120,143
Colima,6,2018,2,1,0,0,343,67,126,150
Colima,6,2020,2,0,0,1,355,103,101,151
Durango,10,2016,8,0,0,6,292,71,146,75
Durango,10,2018,10,0,0,6,296,64,167,65
Durango,10,2020,19,0,0,13,349,66,207,76
Estado de México,15,2016,632,9,0,310,1286,257,673,343
Estado de México,15,2018,629,7,0,287,1489,131,990,354
Estado de México,15,2020,706,8,0,317,1633,268,896,451
Guanajuato,11,2016,42,1,0,21,708,41,538,122
Guanajuato,11,2018,34,4,0,25,828,45,695,78
Guanajuato,11,2020,49,0,0,38,829,50,732,47
Guerrero,12,2016,171,32,0,73,395,31,49,315
Guerrero,12,2018,207,33,0,103,486,50,18,418
Guerrero,12,2020,236,4,3,103,516,37,26,453
Hidalgo,13,2016,504,2,0,221,1027,77,300,577
Hidalgo,13,2018,458,1,0,189,1113,112,324,652
Hidalgo,13,2020,498,0,0,225,1156,142,302,692
Jalisco,14,2016,471,20,0,339,1736,253,629,854
Jalisco,14,2018,459,24,0,339,1830,271,659,900
Jalisco,14,2020,443,3,0,318,1941,262,755,924
Michoacán,16,2016,288,19,0,179,698,143,292,262
Michoacán,16,2018,332,13,0,216,732,140,332,260
Michoacán,16,2020,372,20,0,258,764,153,327,284
Morelos,17,2016,112,0,0,53,493,54,153,284
Morelos,17,2018,100,0,0,29,553,74,191,288
Morelos,17,2020,106,0,0,33,560,86,210,264
Nayarit,18,2016,46,0,0,1,400,47,98,255
Nayarit,18,2018,13,0,0,1,438,51,91,296
Nayarit,18,2020,8,0,0,2,480,53,106,321
Nuevo León,19,2016,0,0,0,0,428,22,403,3
Nuevo León,19,2018,1,0,0,1,362,24,337,1
Nuevo León,19,2020,0,0,0,0,424,42,382,0
Oaxaca,20,2016,249,6,0,143,1445,120,162,1151
Oaxaca,20,2018,244,4,3,155,1517,121,209,1187
Oaxaca,20,2020,265,4,2,188,1637,99,290,1248
Puebla,21,2016,436,15,0,121,1040,50,403,582
Puebla,21,2018,292,7,0,69,903,51,359,493
Puebla,21,2020,435,0,0,125,1100,69,412,619
Querétaro,22,2016,100,1,0,25,327,1,321,5
Querétaro,22,2018,95,3,0,27,330,0,326,4
Querétaro,22,2020,77,5,0,26,324,1,319,4
Quintana Roo,23,2016,0,0,0,0,683,104,144,435
Quintana Roo,23,2018,0,0,0,0,681,68,177,436
Quintana Roo,23,2020,1,0,0,0,694,129,186,379
San Luis Potosí,24,2016,145,2,0,96,305,23,206,76
San Luis Potosí,24,2018,132,1,0,91,361,75,181,98
San Luis Potosí,24,2020,154,2,0,104,331,52,169,109
Sinaloa,25,2016,140,0,0,28,796,56,41,699
Sinaloa,25,2018,178,0,0,25,840,93,85,662
Sinaloa,25,2020,157,0,0,15,811,90,56,663
Sonora,26,2016,172,80,0,20,598,143,184,271
Sonora,26,2018,115,59,0,8,709,86,253,370
Sonora,26,2020,164,2,10,30,769,122,282,365
Tabasco,27,2016,170,4,3,144,799,2,0,704
Tabasco,27,2018,156,7,4,125,803,3,1,799
Tabasco,27,2020,207,0,0,136,793,7,4,782
Tamaulipas,28,2016,81,22,0,15,137,22,37,78
Tamaulipas,28,2018,84,25,1,27,180,56,47,77
Tamaulipas,28,2020,90,0,11,34,179,50,48,81
Tlaxcala,29,2016,252,3,0,58,326,59,137,129
Tlaxcala,29,2018,382,0,0,77,487,78,214,195
Tlaxcala,29,2020,365,0,0,60,496,92,228,176
Veracruz,30,2016,302,13,1,172,790,151,197,442
Veracruz,30,2018,352,10,0,232,987,154,249,584
Veracruz,30,2020,562,0,8,371,1207,204,283,720
Yucatán,31,2016,0,0,0,0,1221,539,230,411
Yucatán,31,2018,1,0,0,0,1228,379,215,634
Yucatán,31,2020,0,0,0,0,1276,228,311,737
Zacatecas,32,2016,182,3,0,138,551,182,171,196
Zacatecas,32,2018,202,0,0,146,814,340,176,298
Zacatecas,32,2020,329,0,0,239,1088,514,254,320
